Channel_id,House_id,User_id,Timestamp,Age,Gender,Emotion
1,1,1,2020-05-26 10:16:34.405060,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:34.578114,"(4, 7)",Male,Sad
1,1,1,2020-05-26 10:16:34.659895,"(15, 24)",Male,Angry
1,1,0,2020-05-26 10:16:34.831653,"(4, 7)",Male,Angry
1,1,1,2020-05-26 10:16:34.912751,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:35.086692,"(4, 7)",Male,Happy
1,1,1,2020-05-26 10:16:35.167475,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:35.460453,"(4, 7)",Male,Angry
1,1,1,2020-05-26 10:16:35.552207,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:35.720759,"(4, 7)",Male,Surprised
1,1,1,2020-05-26 10:16:35.802540,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:35.975126,"(8, 14)",Male,Happy
1,1,1,2020-05-26 10:16:36.055914,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:36.227454,"(8, 14)",Male,Surprised
1,1,1,2020-05-26 10:16:36.317274,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:36.519935,"(8, 14)",Male,Surprised
1,1,1,2020-05-26 10:16:36.609752,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:36.802020,"(25, 32)",Female,Angry
1,1,1,2020-05-26 10:16:36.890967,"(8, 14)",Male,Happy
1,1,0,2020-05-26 10:16:37.069733,"(8, 14)",Male,Surprised
1,1,1,2020-05-26 10:16:37.151516,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:37.325107,"(8, 14)",Male,Surprised
1,1,1,2020-05-26 10:16:37.407060,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:37.583655,"(8, 14)",Male,Surprised
1,1,1,2020-05-26 10:16:37.664871,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:37.837410,"(8, 14)",Male,Surprised
1,1,1,2020-05-26 10:16:37.920021,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:38.091356,"(8, 14)",Male,Surprised
1,1,1,2020-05-26 10:16:38.173204,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:38.348269,"(25, 32)",Male,Surprised
1,1,1,2020-05-26 10:16:38.431028,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:38.608687,"(25, 32)",Male,Surprised
1,1,1,2020-05-26 10:16:38.692563,"(25, 32)",Female,Angry
1,1,0,2020-05-26 10:16:38.865128,"(33, 47)",Female,Angry
1,1,1,2020-05-26 10:16:38.946933,"(25, 32)",Male,Surprised
1,1,0,2020-05-26 10:16:39.118473,"(25, 32)",Female,Angry
1,1,1,2020-05-26 10:16:39.200256,"(25, 32)",Female,Surprised
1,1,0,2020-05-26 10:16:39.463162,"(25, 32)",Male,Surprised
1,1,1,2020-05-26 10:16:39.547954,"(33, 47)",Male,Angry
1,1,0,2020-05-26 10:16:39.720474,"(25, 32)",Male,Angry
1,1,1,2020-05-26 10:16:39.803251,"(8, 14)",Male,Surprised
1,1,0,2020-05-26 10:16:40.084502,"(25, 32)",Male,Surprised
1,1,1,2020-05-26 10:16:40.175547,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:40.345680,"(8, 14)",Male,Happy
1,1,1,2020-05-26 10:16:40.429254,"(25, 32)",Male,Angry
1,1,0,2020-05-26 10:16:40.606780,"(25, 32)",Male,Angry
1,1,2,2020-05-26 10:16:40.688126,"(25, 32)",Male,Happy
1,1,0,2020-05-26 10:16:40.860662,"(0, 3)",Male,Angry
1,1,1,2020-05-26 10:16:40.943442,"(8, 14)",Male,Happy
1,1,0,2020-05-26 10:16:41.114997,"(0, 3)",Male,Angry
1,1,1,2020-05-26 10:16:41.197144,"(25, 32)",Male,Happy
1,1,0,2020-05-26 10:16:41.381160,"(0, 3)",Male,Angry
1,1,1,2020-05-26 10:16:41.474932,"(25, 32)",Male,Disgust
1,1,0,2020-05-26 10:16:41.674798,"(0, 3)",Male,Angry
1,1,1,2020-05-26 10:16:41.765118,"(8, 14)",Male,Surprised
1,1,0,2020-05-26 10:16:41.963462,"(25, 32)",Female,Angry
1,1,1,2020-05-26 10:16:42.045243,"(25, 32)",Female,Happy
